,date,season,neutral,playoff,home_team,away_team,home_pre,away_pre,home_prob,away_prob,home_post,away_post,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_pitcher_rating,away_pitcher_rating,home_score,away_score
410,9/3/2020,2020,0,s,ANA,SDP,1468.709,1506.338,0.48,0.52,1470.643,1504.403,Andrew Heaney,Mike Clevinger,51.87,60.0,12.6,41.368,2,0
413,9/3/2020,2020,0,s,HOU,TEX,1558.603,1466.42,0.661,0.339,1560.148,1464.875,Zack Greinke,Lance Lynn,58.042,61.407,18.819,47.725,8,4
416,9/2/2020,2020,0,s,ANA,SDP,1472.248,1502.799,0.491,0.509,1468.709,1506.338,Julio Teheran,Dinelson Lamet,47.689,52.936,-6.999,8.454,4,11
418,9/2/2020,2020,0,s,HOU,TEX,1557.771,1467.251,0.659,0.341,1558.603,1466.42,Cristian Javier,Kolby Allard,49.878,48.24,-19.173,-13.309,2,1
432,9/1/2020,2020,0,s,HOU,TEX,1559.776,1465.247,0.664,0.336,1557.771,1467.251,Framber Valdez,Luis Garcia,49.582,46.99,-20.348,-19.035,5,6
450,8/31/2020,2020,0,s,ANA,SEA,1473.776,1472.233,0.537,0.463,1472.248,1473.762,Jaime Barria,Marco Gonzales,47.872,52.477,-6.003,23.437,1,2
456,8/30/2020,2020,0,s,ANA,SEA,1475.321,1470.689,0.541,0.459,1473.776,1472.233,Griffin Canning,Justin Dunn,49.668,47.223,3.555,-0.132,1,2
459,8/30/2020,2020,0,s,TEX,LAD,1467.153,1584.102,0.369,0.631,1465.247,1586.008,Kyle Gibson,Tony Gonsolin,47.19,53.582,-18.596,8.625,2,7
468,8/29/2020,2020,0,s,ANA,SEA,1470.333,1475.677,0.527,0.473,1475.321,1470.689,Dylan Bundy,Justus Sheffield,53.042,49.885,19.787,11.898,16,3
474,8/29/2020,2020,0,s,HOU,OAK,1557.725,1558.172,0.534,0.466,1559.776,1556.121,Zack Greinke,Frankie Montas,58.646,52.661,21.901,12.698,6,3
475,8/29/2020,2020,0,s,TEX,LAD,1468.584,1582.671,0.373,0.627,1467.153,1584.102,Lance Lynn,Ross Stripling,61.684,47.327,49.763,-21.394,4,7
478,8/29/2020,2020,0,s,HOU,OAK,1556.021,1559.877,0.529,0.471,1557.725,1558.172,Lance McCullers Jr.,Chris Bassitt,51.812,52.021,-9.877,8.69,4,2
487,8/28/2020,2020,0,s,ANA,SEA,1469.014,1476.996,0.523,0.477,1470.333,1475.677,Andrew Heaney,Nick Margevicius,50.571,43.205,9.49,-19.08,3,2
491,8/28/2020,2020,0,s,TEX,LAD,1465.214,1586.041,0.364,0.636,1468.584,1582.671,Mike Minor,Dustin May,52.488,49.801,7.649,-9.44,6,2
510,8/26/2020,2020,0,s,TEX,OAK,1466.493,1558.597,0.403,0.597,1465.214,1559.877,Kolby Allard,Mike Fiers,47.042,48.612,-17.275,-6.398,1,3
527,8/25/2020,2020,0,s,TEX,OAK,1469.216,1555.875,0.411,0.589,1466.493,1558.597,Kyle Gibson,Sean Manaea,47.492,50.421,-15.602,2.272,3,10
530,8/25/2020,2020,0,s,HOU,ANA,1561.27,1463.764,0.668,0.332,1556.021,1469.014,Brandon Bielak,Julio Teheran,45.421,47.339,-41.188,-5.424,5,12
535,8/25/2020,2020,0,s,HOU,ANA,1559.965,1465.069,0.665,0.335,1561.27,1463.764,Cristian Javier,Jose Suarez,49.353,40.764,-22.638,-37.462,6,3
537,8/24/2020,2020,0,s,HOU,ANA,1557.806,1467.228,0.659,0.341,1559.965,1465.069,Framber Valdez,Patrick Sandoval,49.043,47.5,-23.876,-6.842,11,4
540,8/24/2020,2020,0,s,TEX,OAK,1467.525,1557.565,0.406,0.594,1469.216,1555.875,Lance Lynn,Jesus Luzardo,61.61,48.367,51.338,-7.14,3,2
547,8/23/2020,2020,0,s,SEA,TEX,1469.763,1469.595,0.535,0.465,1471.832,1467.525,Justin Dunn,Mike Minor,44.983,53.155,-9.634,11.081,4,1
548,8/23/2020,2020,0,s,OAK,ANA,1556.726,1468.068,0.657,0.343,1557.565,1467.228,Frankie Montas,Dylan Bundy,53.442,53.174,16.136,19.901,5,4
560,8/22/2020,2020,0,s,SEA,TEX,1465.763,1473.595,0.523,0.477,1469.763,1469.595,Justus Sheffield,Jordan Lyles,49.15,46.852,10.472,-20.265,10,1
571,8/22/2020,2020,0,s,OAK,ANA,1558.718,1466.075,0.662,0.338,1556.726,1468.068,Chris Bassitt,Griffin Canning,52.057,50.074,9.69,4.997,3,4
