,date,season,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_rgs,away_pitcher_rgs,home_score,away_score,compare_score,home_win,away_win,win_pitch_rgs,lose_pitch_rgs
20681,10/19/2011,2011,STL,TEX,carpc002,C.J. Wilson,56.018,54.222,3,2,1,True,False,56.018,54.222
142209,10/7/1948,1948,ATL,CLE,spahw101,lemob101,53.988,56.014,1,4,-3,False,True,56.014,53.988
170711,10/15/1925,1925,PIT,MIN,aldrv101,johnw102,56.013,60.147,9,7,2,True,False,56.013,60.147
169472,10/7/1926,1926,STL,NYY,sherb101,pennh101,54.416,56.01,2,3,-1,False,True,56.01,54.416
108592,10/16/1971,1971,BAL,PIT,palmj001,moosb101,56.01,46.766,3,2,1,True,False,56.01,46.766
124225,10/4/1962,1962,SFG,NYY,odelb101,fordw101,53.53,56.008,2,6,-4,False,True,56.008,53.53
139721,10/4/1950,1950,PHI,NYY,konsj101,rascv101,47.976,55.999,0,1,-1,False,True,55.999,47.976
152157,10/4/1940,1940,DET,CIN,bridt101,turnj102,55.973,53.943,7,4,3,True,False,55.973,53.943
3,10/23/2020,2020,TBD,LAD,Charlie Morton,Walker Buehler,57.971,55.938,2,6,-4,False,True,55.938,57.971
50219,10/24/1999,1999,ATL,NYY,millk004,coned001,62.848,55.922,2,7,-5,False,True,55.922,62.848
5883,10/29/2017,2017,HOU,LAD,Dallas Keuchel,Clayton Kershaw,55.92,59.647,13,12,1,True,False,55.92,59.647
3417,10/28/2018,2018,LAD,BOS,Clayton Kershaw,David Price,55.72,55.904,1,5,-4,False,True,55.904,55.72
164524,10/4/1930,1930,STL,OAK,hallb104,walbr101,55.901,52.175,5,0,5,True,False,55.901,52.175
152153,10/8/1940,1940,CIN,DET,derrp101,newsb101,55.898,59.175,2,1,1,True,False,55.898,59.175
5882,10/31/2017,2017,LAD,HOU,Rich Hill,Justin Verlander,55.895,61.875,3,1,2,True,False,55.895,61.875
100850,10/22/1975,1975,BOS,CIN,lee-b101,gulld101,50.769,55.892,3,4,-1,False,True,55.892,50.769
72040,10/27/1989,1989,SFG,OAK,garrs001,stewd001,53.051,55.891,7,13,-6,False,True,55.891,53.051
168231,10/7/1927,1927,NYY,PIT,pennh101,meadl101,55.886,53.762,8,1,7,True,False,55.886,53.762
94669,10/11/1978,1978,LAD,NYY,hootb001,huntj101,55.885,49.609,4,3,1,True,False,55.885,49.609
173184,10/15/1923,1923,SFG,NYY,nehfa101,pennh101,52.748,55.871,4,6,-2,False,True,55.871,52.748
170713,10/12/1925,1925,MIN,PIT,coves101,aldrv101,56.522,55.829,3,6,-3,False,True,55.829,56.522
182797,10/13/1915,1915,PHI,BOS,mayee101,fostr103,52.587,55.754,4,5,-1,False,True,55.754,52.587
166998,10/4/1928,1928,NYY,STL,hoytw101,sherb101,55.752,56.389,4,1,3,True,False,55.752,56.389
158350,10/3/1935,1935,DET,CHC,bridt101,rootc101,55.697,52.053,8,3,5,True,False,55.697,52.053
78403,10/21/1986,1986,BOS,NYM,boydo001,ojedb001,52.048,55.691,1,7,-6,False,True,55.691,52.048
112501,10/12/1969,1969,BAL,NYM,mcnad102,koosj001,53.938,55.637,1,2,-1,False,True,55.637,53.938
178144,10/9/1919,1919,CHW,CIN,willl104,elleh101,53.133,55.634,5,10,-5,False,True,55.634,53.133
30526,10/25/2007,2007,BOS,COL,schic002,Ubaldo Jimenez,55.629,53.016,2,1,1,True,False,55.629,53.016
176908,10/6/1920,1920,LAD,CLE,grimb101,bagbj101,55.622,55.665,3,0,3,True,False,55.622,55.665
160810,10/7/1933,1933,MIN,SFG,crowg102,schuh103,53.334,55.61,3,4,-1,False,True,55.61,53.334
128528,10/4/1959,1959,LAD,CHW,drysd101,donod101,55.544,51.515,3,1,2,True,False,55.544,51.515
173186,10/13/1923,1923,SFG,NYY,scotj101,shawb102,52.216,55.539,4,8,-4,False,True,55.539,52.216
147184,10/9/1944,1944,STL,BAL,lanim101,pottn102,55.532,57.036,3,1,2,True,False,55.532,57.036
173188,10/11/1923,1923,SFG,NYY,mcquh101,pennh101,51.56,55.489,2,4,-2,False,True,55.489,51.56
15744,10/23/2013,2013,BOS,STL,Jon Lester,Adam Wainwright,55.428,58.769,8,1,7,True,False,55.428,58.769
92556,10/12/1979,1979,PIT,BAL,candj001,mcgrs001,54.913,55.377,4,8,-4,False,True,55.377,54.913
18208,10/28/2012,2012,DET,SFG,Max Scherzer,Matt Cain,57.608,55.364,3,4,-1,False,True,55.364,57.608
3420,10/24/2018,2018,BOS,LAD,David Price,Hyun-Jin Ryu,55.36,51.917,4,2,2,True,False,55.36,51.917
155860,10/8/1937,1937,SFG,NYY,schuh103,pearm101,52.482,55.356,1,5,-4,False,True,55.356,52.482
147187,10/6/1944,1944,BAL,STL,kramj101,wilkt101,55.355,54.82,6,2,4,True,False,55.355,54.82
128530,10/1/1959,1959,CHW,LAD,wynne101,crair101,55.344,54.668,11,0,11,True,False,55.344,54.668
150904,10/6/1941,1941,LAD,NYY,wyatw101,bonht101,61.218,55.332,1,3,-2,False,True,55.332,61.218
23144,10/30/2010,2010,TEX,SFG,Colby Lewis,Jonathan Sanchez,55.318,54.186,4,2,2,True,False,55.318,54.186
28067,10/23/2008,2008,TBD,PHI,James Shields,Brett Myers,55.302,52.522,4,2,2,True,False,55.302,52.522
170716,10/8/1925,1925,PIT,MIN,aldrv101,coves101,55.281,56.389,3,2,1,True,False,55.281,56.389
65672,10/24/1992,1992,ATL,TOR,avers001,coned001,52.688,55.278,3,4,-1,False,True,55.278,52.688
147188,10/5/1944,1944,STL,BAL,lanim101,pottn102,55.236,56.807,3,2,1,True,False,55.236,56.807
131015,10/5/1957,1957,ATL,NYY,buhlb101,turlb101,52.424,55.231,3,12,-9,False,True,55.231,52.424
25608,10/29/2009,2009,NYY,PHI,A.J. Burnett,martp001,55.224,50.794,3,1,2,True,False,55.224,50.794
176905,10/10/1920,1920,CLE,LAD,bagbj101,grimb101,55.207,56.325,8,1,7,True,False,55.207,56.325
116089,10/9/1967,1967,STL,BOS,carls001,lonbj101,52.913,55.201,1,3,-2,False,True,55.201,52.913
185308,10/10/1913,1913,OAK,SFG,bendc101,demaa101,55.194,54.901,6,5,1,True,False,55.194,54.901
185311,10/7/1913,1913,SFG,OAK,marqr102,bendc101,58.223,55.141,4,6,-2,False,True,55.141,58.223
78399,10/27/1986,1986,NYM,BOS,darlr001,hursb001,55.129,57.887,8,5,3,True,False,55.129,57.887
171950,10/6/1924,1924,SFG,MIN,mcquh101,marbf101,55.128,50.024,6,4,2,True,False,55.128,50.024
127288,10/5/1960,1960,PIT,NYY,law-v101,ditma101,55.125,51.921,6,4,2,True,False,55.125,51.921
152156,10/5/1940,1940,DET,CIN,troud101,derrp101,50.632,55.079,2,5,-3,False,True,55.079,50.632
135986,9/30/1953,1953,NYY,LAD,reyna102,erskc101,55.039,57.492,9,5,4,True,False,55.039,57.492
89012,10/20/1981,1981,NYY,LAD,guidr001,reusj001,55.028,54.653,5,3,2,True,False,55.028,54.653
67801,10/22/1991,1991,ATL,MIN,avers001,erics001,55.018,51.329,5,4,1,True,False,55.018,51.329
160813,10/4/1933,1933,SFG,MIN,schuh103,crowg102,55.001,54.401,6,1,5,True,False,55.001,54.401
145953,10/3/1945,1945,DET,CHC,newhh101,boroh101,64.204,54.995,0,9,-9,False,True,54.995,64.204
74163,10/15/1988,1988,LAD,OAK,belct001,stewd001,54.994,57.117,5,4,1,True,False,54.994,57.117
90435,10/18/1980,1980,KCR,PHI,leond001,chril101,54.991,51.079,5,3,2,True,False,54.991,51.079
163283,10/2/1931,1931,STL,OAK,hallb104,earng101,54.97,58.147,2,0,2,True,False,54.97,58.147
110546,10/11/1970,1970,CIN,BAL,mcglj101,cuelm101,46.967,54.937,5,6,-1,False,True,54.937,46.967
127285,10/9/1960,1960,NYY,PIT,terrr101,law-v101,54.351,54.911,2,3,-1,False,True,54.911,54.351
164522,10/6/1930,1930,STL,OAK,grimb101,earng101,55.599,54.9,0,2,-2,False,True,54.9,55.599
127282,10/13/1960,1960,PIT,NYY,law-v101,turlb101,54.9,52.093,10,9,1,True,False,54.9,52.093
149679,9/30/1942,1942,STL,NYY,coopm101,ruffr101,63.131,54.868,4,7,-3,False,True,54.868,63.131
147189,10/4/1944,1944,STL,BAL,coopm101,galed101,58.814,54.85,1,2,-1,False,True,54.85,58.814
139718,10/7/1950,1950,NYY,PHI,fordw101,millb103,54.841,48.359,5,2,3,True,False,54.841,48.359
78402,10/22/1986,1986,BOS,NYM,nippa001,darlr001,45.106,54.838,2,6,-4,False,True,54.838,45.106
181549,10/7/1916,1916,BOS,LAD,shore101,marqr102,54.829,53.588,6,5,1,True,False,54.829,53.588
